news_headline,news_article,news_category
I look at Salman as an actor who's also a superstar: Ali Abbas Zafar,"Speaking about working with actor Salman Khan, filmmaker Ali Abbas Zafar said, ""I look at Salman more as an actor, who's a superstar, but a lot of people look at him as a superstar, who is also an actor."" ""The way he handles emotions, a lot of actors can't. He is phenomenal in transferring the emotions on screens,"" he added.",entertainment
Shweta Tripathi joins Taapsee Pannu starrer 'Rashmi Rocket',"'Mirzapur' actress Shweta Tripathi, who has turned 36 today, has bagged a pivotal role in Taapsee Pannu starrer 'Rashmi Rocket'. On Shweta's birthday on Tuesday, the film's production house made the announcement and tweeted, ""She fights the world for truth and justice, don't let her smile fool you!"" The film is directed by Akarsh Khurana.",entertainment
Mumbai court rejects bail plea of actor Ajaz Khan in drugs case,"A court in Mumbai on Tuesday rejected the bail application of actor Ajaz Khan, who was arrested by the Narcotics Control Bureau (NCB) in connection with a drugs case in March this year. ""4.5 grams of Alprozol tablets were recovered during his house search,"" NCB officials had said at the time of his arrest. ",entertainment
Keep punching: Salman wishes Sylvester Stallone on his birthday ,"Salman Khan took to Twitter on Tuesday to wish American actor Sylvester Stallone on the occasion of his birthday. He shared a picture of the 'Rocky' actor and wrote, ""Wishing you a very happy bday @TheSlyStallone. Good health, love, happiness and more power to you. Keep punching!"" The Hollywood actor turned 75 on Tuesday.",entertainment
Arshad denies report of appearing on 'Anupamaa' opposite Rupali,"Actor Arshad Warsi has refuted a report that said he might star opposite Rupali Ganguly in the show 'Anupamaa'. Taking to Twitter, he shared the news report and wrote, ""This news is absolutely UNTRUE. Please get your facts right."" Arshad will next be seen in Akshay Kumar-starrer 'Bachchan Pandey', which is expected to release on January 26 next year.",entertainment
Sara Ali Khan to reunite with Aanand L Rai for 'Nakhrewali': Report,"Sara Ali Khan and Aanand L Rai are reportedly teaming up again for an upcoming film titled 'Nakhrewali'. ""She will be seen essaying the titular role. It is definitely going to be an out-and-out entertainer,"" reports stated. The actress will also be seen in Aanand's upcoming film 'Atrangi Re', which also stars Akshay Kumar and Dhanush.",entertainment
Ajay's 'Bhuj: The Pride of India' to release on OTT on Aug 13,"Ajay Devgn took to Twitter on Tuesday to announce the release date of his film 'Bhuj: The Pride of India'. The film, which is based on real events from the 1971 Indo-Pak war, will release on an OTT platform on August 13. The Abhishek Dudhaiya directorial will also feature Sanjay Dutt, Ammy Virk, Sonakshi Sinha, Sharad Kelkar and Nora Fatehi.",entertainment
I'm called Laughing Buddha on the show: Farah on 'Zee Comedy…',"Speaking about being part of the upcoming comedy show 'Zee Comedy Factory', filmmaker Farah Khan said, ""I'm called the 'Laughing Buddha' and all the artistes have to entertain me along with the audience."" ""In these stressful times I think I have got the best job and that is to be entertained by the best in the comedy business,"" she added.",entertainment
Shweta's ex-husband Abhinav seeks cancellation of actress' interim bail,"Shweta Tiwari's ex-husband Abhinav Kohli has moved the court, seeking cancellation of the actress' interim bail. Kohli has accused Shweta of leaving their son Reyansh alone in a hotel and travelling to Cape Town for shooting a show. He also claimed that the 'Kasautii Zindagii Kay' actress had left the country without informing the court. ",entertainment
Mom-in-law had rejected proposal for Poonam due to my complexion: Shatrughan,"During his recent appearance on Indian Idol 12, actor-turned-politician Shatrughan Sinha revealed that his wife, Poonam Sinha's mother had initially rejected his marriage proposal for the actress. ""She would say that her daughter is so fair and beautiful but I am so dark, and if we posed together for a coloured photograph, it would look black-and-white,"" he said.",entertainment
"Tiger is the ultimate child, it's been hard to keep up with him: Sister","Krishna Shroff, while speaking about her actor brother Tiger Shroff, said, ""He's the ultimate child...It's been very hard to keep up with him."" ""But growing up with him and living with him is motivational every day,"" she added. ""He's absolutely killing it in everything he does...Everything he does turns to gold...I couldn't be any less proud of him,"" said Krishna.",entertainment
"Britney's manager resigns after 25 yrs, shares singer's plan to retire","Britney Spears' manager of 25 years, Larry Rudolph has resigned from his duties. According to Variety, in a letter to the singer's father, Jamie Spears, Larry has cited the singer's ""intention to officially retire"" as the reason for his resignation. ""I believe it's in Britney's best interest for me to resign...as my professional services are no longer needed,"" Larry stated.",entertainment
My father-in-law said TV requires dedication: Madalsa on Mithun's advice,"Speaking about her father-in-law actor Mithun Chakraborty's advice, 'Anupamaa' actress Madalsa Sharma said, ""He said that 'Get ready for a lot of hard work because television requires a lot of...discipline and dedication'."" ""He told that it's a very good thing that I've given myself an opportunity to start off my career in television with 'Anupamaa',"" she added.",entertainment
My mother is still in touch with my ex-girlfriends: Vikrant Massey,"Actor Vikrant Massey, while talking about his past relationships and his bond with his parents, said, ""Every single girlfriend I've had, my parents have known about [her]. My mother also knows a couple of them, she's still in touch with them. They come over."" He also revealed that he started ""dating properly"" at the age of 17. ",entertainment
Rajkumar Hirani hands over original camera negative of 'PK' to NFAI,"The National Film Archive of India (NFAI) on Tuesday acquired the original camera negative of director Rajkumar Hirani's 2014 film 'PK'. ""It is the duty of a filmmaker to ensure that the films are preserved and I appeal to all filmmakers to support NFAI in this important cause,"" Hirani said. ",entertainment
BMW launches the new BMW 5 Series in India,"BMW has launched the latest version of its luxury sedan, the BMW 5 Series, in India. The car promises to offer best-in-class acceleration and adaptive suspension for ultimate driving pleasure. The iconic sedan features BMW Laserlight technology coupled with advanced driver and parking assistance systems which BMW says sets a new definition of intelligent driving.",automobile
"Princess Diana's 40-yr-old Ford Escort, gifted by Prince Charles, auctioned for ₹48 lakh","A Ford Escort car once owned by Diana, Princess of Wales, has been sold for £47,000 (over ₹48 lakh) excluding taxes. A South American museum bought this car through auction. The 1981 Ford Escort 1.6 Ghia car was gifted to the Princess of Wales by Prince Charles, two months before their wedding. 
",automobile
"MS Dhoni gifts wife Sakshi a vintage car on 11th wedding anniversary, she shares pic","Former India captain MS Dhoni gifted his wife Sakshi Dhoni a vintage car on the occasion of their 11th wedding anniversary. Sakshi took to Instagram Stories to share a picture of the car. ""Thank you for the anniversary gift,"" she wrote alongside the picture. MS Dhoni and Sakshi got married in Dehradun on July 4, 2010.",automobile
Flying car's prototype completes 35-min test flight in Slovakia; video released,"A prototype of the convertible flying car 'AirCar' successfully completed a 35-minute test flight between the international airports in Nitra and Bratislava in Slovakia. It takes 135 seconds to transform from a car into aircraft. AirCar's creator Stefan Klein said it could fly about 1,000 kilometres at a height of 8,200 ft on a single fuel tank top-up.",automobile
"Tesla Model S Plaid caught fire while US owner was driving, says lawyer","Tesla's latest Model S Plaid electric car burst into flames while the owner was driving it in US, three days after the $129,900 (₹97-lakh) vehicle was delivered, the driver's lawyer told Reuters. The driver initially wasn't able to get out of the car as its electronic door system failed and had to ""use force to push it open"", he added.",automobile
World's biggest superyacht to offer 39 apartments starting from ₹84 crore,"The designers have unveiled plans for 'Somnio', a 222-metre vessel due to launch in 2024 that'll be the world's largest superyacht. The makers are offering 39 apartments on the superyacht, being built in Norway with 7-star hotel service and access to a wine cellar, with prices starting at over ₹84 crore. The apartments will also have kitchen, gym and library.",automobile
"Tesla rival Triton EV to invest ₹2,100 cr in Telangana, create 25,000 jobs","Electric carmaker Tesla's rival US-based Triton EV has signed an MoU with the Telangana government to invest ₹2,100 crore to establish its new manufacturing facility in Zaheerabad. This investment will create about 25,000 jobs, the state's Industries Minister KT Rama Rao said. The unit is expected to produce over 50,000 sedans, luxury SUVs and other vehicles in first five years.",automobile
Volkswagen gives control of Bugatti to Croatian EV maker & Porsche,"Volkswagen has said it is giving control of its ultra-luxury brand Bugatti to Croatian EV maker Rimac and Porsche. Rimac will own 55% of the joint venture called Bugatti-Rimac, while Porsche, which is another brand of Volkswagen, will own 45%. Volkswagen acquired Bugatti, which is now a 112-year-old brand, in 1998 for around $50 million and relaunched it in 2005.",automobile
Tata Motors hits 10% lower circuit as JLR expects chip shortage to worsen,"Tata Motors' shares hit 10% lower circuit on Tuesday after Jaguar Land Rover (JLR) said it expects the chip shortage to be greater in the quarter ending September. The shortage will result in wholesale volumes about 50% lower than planned in the second quarter, it said. ""Some level of shortages will continue...to...end of the year and beyond,"" it added.",automobile
"Phase 1 of world's largest 2-wheeler factory in TN nears completion, Ola CEO shares pic","Ola CEO Bhavish Aggarwal on Saturday announced that phase 1 of the 500-acre electric scooter factory in Tamil Nadu is nearing completion. Sharing a picture from the site, Agarwal wrote, ""In just 4 months, this place...transformed from acres of empty rock land to the world's largest two-wheeler factory."" Earlier, Ola said the factory will produce one scooter every two seconds.",automobile
Asia's longest high-speed track measuring 11.3 km inaugurated in MP,"Union Minister Prakash Javadekar virtually inaugurated Asia's longest high-speed track in Indore, Madhya Pradesh. ""A proud moment for India and a key initiative in realising PM Modi's vision of #AatmaNirbharBharat,"" Javadekar tweeted. The new facility, measuring 11.3 km in length, will ensure vehicles can be tested and evaluated in India and don't need to be sent overseas for the same. ",automobile
US man sues Tesla for fee at Supercharger stations,"A US man has sued Tesla for imposing a fee on people who leave their car at the Supercharger stations too long and is seeking to represent all early Tesla adopters to recover their costs. He said when a customer refuses to pay the fee, Tesla cuts off Supercharging access entirely. Tesla had promised early adopters free Supercharging for life.",automobile
Flying cars will be a reality by 2030: Hyundai's Europe chief,"Hyundai Motor Europe's CEO Michael Cole at a recent conference said that flying cars will become a reality by the end of this decade. Cole said, ""Years ago it was something I never thought we'd see."" The company is developing electric flying taxis that will be able to transport five to six people from highly congested urban centres to airports.",automobile
Cybertruck will have rear wheel steering for tight turns: Musk,"Tesla CEO Elon Musk has revealed that the automaker's Cybertruck will have rear wheel steering so that the vehicle can do ""tight turns"" and manoeuvre with ""high agility"". He said that Cybertruck's design will be ""almost exactly"" as what was shown at the introduction in 2019. Earlier, it was reported that Cybertruck could travel 980 kilometres on a single charge.",automobile
"Porsche recalls 43,000 Taycan cars over sudden power loss issue","Porsche is recalling 43,000 units of its electric Taycan cars over faulty software that can cause the battery-powered engine to suddenly shut down. The recall will affect all Taycan models produced by June and the cars will receive a software update to fix the issue, Porsche said. The Taycan is Porsche's first fully-electric car model which was unveiled in 2019.",automobile
Tesla sued for 15-yr-old US boy's death in crash involving Model 3,"The family of a 15-year-old US boy who died in a 2019 crash involving a Tesla Model 3 on Autopilot has sued Tesla. The Tesla had rear-ended the boy's vehicle, after which he was thrown from it. A video recorded by Tesla reportedly shows the Autopilot didn't slow the car down until a fraction of a second before the crash.",automobile
"Tesla offered 1,000-hectare land in Gujarat to set up unit: Report","Tesla has been offered an estimated 1,000-hectare land in Gujarat's Mundra to set up an electric vehicle manufacturing or assembling unit, The Indian Express reported. The land has been offered both inside and outside the Adani Ports and Special Economic Zone, an official said. ""Tesla's yet to decide whether the new unit will be a pure export unit,"" they added.",automobile
Self-driving startup Pony.ai hires JPMorgan exec as CFO,"Toyota-backed self-driving startup Pony.ai has hired JPMorgan's current Vice Chairman of Investment Banking Lawrence Steyn to be its CFO. Steyn has held a variety of leadership roles, including Managing Director at Morgan Stanley and Executive Director of Goldman Sachs prior to JPMorgan. Pony.ai is considering going public in the US, Reuters reported.",automobile
Tesla to recall 3 lakh cars remotely in China over autopilot risks,"Tesla will recall nearly 3 lakh cars in China, remotely, over risks relating to its autopilot feature. The issue causes autopilot systems to be easily activated during a drive and could potentially lead to car crashes. The recall will cover over 2.49 lakh China-made Model 3 and Model Y cars and 35,665 imported Model 3 sedans.",automobile
Volkswagen to end sales of combustion engines in Europe by 2035,"Volkswagen will stop selling combustion engine cars in Europe by 2035, Volkswagen board member for sales Klaus Zellmer said. The firm will exit the business with internal combustion vehicles in the US and China ""somewhat later"". He added the exit in South America and Africa would take longer due to the lack of political and infrastructure framework conditions.",automobile
